PassengerId,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
1,1,0,0.271173662,0.125,0.0,0.014151058,1
2,-1,1,0.472229203,0.125,0.0,0.139135735,-1
3,1,1,0.321437547,0.0,0.0,0.01546857,1
4,-1,1,0.434531289,0.125,0.0,0.103644297,1
5,1,0,0.434531289,0.0,0.0,0.015712554,1
6,1,0,0.36720398,0.0,0.0,0.016509502,0
7,-1,0,0.673284745,0.0,0.0,0.101228858,1
8,1,0,0.019854235,0.375,0.166666667,0.04113566,1
9,1,1,0.334003518,0.0,0.333333333,0.021730754,1
10,0,1,0.170645891,0.125,0.0,0.058694293,-1
11,1,1,0.044986177,0.125,0.166666667,0.032596229,1
12,-1,1,0.72354863,0.0,0.0,0.051822149,1
13,1,0,0.246041719,0.0,0.0,0.015712554,1
14,1,0,0.484795175,0.125,0.833333333,0.061044735,1
15,1,1,0.170645891,0.0,0.0,0.015330377,1
16,0,1,0.685850716,0.0,0.0,0.03122992,1
17,1,0,0.019854235,0.5,0.166666667,0.056848214,0
18,0,0,0.36720398,0.0,0.0,0.02537431,1
19,1,1,0.384267404,0.125,0.0,0.03513366,1
20,1,1,0.36720398,0.0,0.0,0.014102261,-1
21,0,0,0.434531289,0.0,0.0,0.05074862,1
22,0,0,0.421965318,0.0,0.0,0.02537431,1
23,1,1,0.183211862,0.0,0.0,0.015671955,0
24,-1,0,0.34656949,0.0,0.0,0.069291385,1
25,1,1,0.095250063,0.375,0.166666667,0.04113566,1
26,1,1,0.472229203,0.125,0.833333333,0.06126432,1
27,1,0,0.36720398,0.0,0.0,0.014102261,-1
28,-1,0,0.233475748,0.375,0.333333333,0.513341812,1
29,1,1,0.36720398,0.0,0.0,0.015379174,0
30,1,0,0.36720398,0.0,0.0,0.015411575,1
31,-1,0,0.497361146,0.0,0.0,0.054107398,-1
32,-1,1,0.36720398,0.125,0.0,0.285989555,-1
33,1,1,0.36720398,0.0,0.0,0.015126993,0
34,0,0,0.824076401,0.0,0.0,0.020494635,1
35,-1,0,0.34656949,0.125,0.0,0.16038672,-1
36,-1,0,0.522493089,0.125,0.0,0.10149724,1
37,1,0,0.36720398,0.0,0.0,0.014110459,-1
38,1,0,0.25860769,0.0,0.0,0.015712554,1
39,1,1,0.220909776,0.25,0.0,0.03513366,1
40,1,1,0.170645891,0.125,0.0,0.021942337,-1
41,1,1,0.497361146,0.125,0.0,0.018493968,1
42,0,1,0.334003518,0.125,0.0,0.04098927,1
43,1,0,0.36720398,0.0,0.0,0.015411575,-1
44,0,1,0.032420206,0.125,0.333333333,0.081157193,-1
45,1,1,0.233475748,0.0,0.0,0.015379174,0
46,1,0,0.36720398,0.0,0.0,0.015712554,1
47,1,0,0.36720398,0.125,0.0,0.030253985,0
48,1,1,0.36720398,0.0,0.0,0.015126993,0
49,1,0,0.36720398,0.25,0.0,0.04231498,-1
50,1,1,0.220909776,0.125,0.0,0.034743286,1
51,1,0,0.082684091,0.5,0.166666667,0.077464841,1
52,1,0,0.25860769,0.0,0.0,0.015224586,1
53,-1,1,0.610454888,0.125,0.0,0.149765424,-1
54,0,1,0.359135461,0.125,0.0,0.05074862,1
55,-1,0,0.81151043,0.0,0.166666667,0.120975342,-1
56,-1,0,0.36720398,0.0,0.0,0.069291385,1
57,0,1,0.25860769,0.0,0.0,0.020494635,1
58,1,0,0.352852475,0.0,0.0,0.014110459,-1
59,0,1,0.057552149,0.125,0.333333333,0.054164393,1
60,1,0,0.132947977,0.625,0.333333333,0.091542703,1
61,1,0,0.271173662,0.0,0.0,0.014110459,-1
63,-1,0,0.560191003,0.125,0.0,0.162932349,1
64,1,0,0.044986177,0.375,0.333333333,0.054457173,1
65,-1,0,0.36720398,0.0,0.0,0.054107398,-1
66,1,0,0.36720398,0.125,0.166666667,0.02975782,-1
67,0,1,0.359135461,0.0,0.0,0.020494635,1
68,1,0,0.233475748,0.0,0.0,0.015923941,1
69,1,1,0.208343805,0.5,0.333333333,0.01546857,1
70,1,0,0.321437547,0.25,0.0,0.016908074,1
71,0,0,0.396833375,0.0,0.0,0.020494635,1
72,1,1,0.195777834,0.625,0.333333333,0.091542703,1
73,0,0,0.25860769,0.0,0.0,0.143462446,1
74,1,0,0.321437547,0.125,0.0,0.028212719,-1
75,1,0,0.396833375,0.0,0.0,0.110272458,1
76,1,0,0.308871576,0.0,0.0,0.014931806,1
77,1,0,0.36720398,0.0,0.0,0.015411575,1
78,1,0,0.36720398,0.0,0.0,0.015712554,1
79,0,0,0.005152048,0.0,0.333333333,0.05660423,1
80,1,1,0.371701433,0.0,0.0,0.024349578,1
81,1,0,0.271173662,0.0,0.0,0.01756683,1
82,1,0,0.359135461,0.0,0.0,0.018542765,1
83,1,1,0.36720398,0.0,0.0,0.015200188,0
84,-1,0,0.34656949,0.0,0.0,0.091933077,1
85,0,1,0.208343805,0.0,0.0,0.020494635,1
86,1,1,0.409399347,0.375,0.0,0.03093714,1
87,1,0,0.195777834,0.125,0.5,0.067095532,1
88,1,0,0.36720398,0.0,0.0,0.015712554,1
89,-1,1,0.283739633,0.375,0.333333333,0.513341812,1
90,1,0,0.296305604,0.0,0.0,0.015712554,1
91,1,0,0.359135461,0.0,0.0,0.015712554,1
92,1,0,0.246041719,0.0,0.0,0.015330377,1
93,-1,0,0.572756974,0.125,0.0,0.119405648,1
94,1,0,0.321437547,0.125,0.333333333,0.040159725,1
95,1,0,0.736114602,0.0,0.0,0.014151058,1
96,1,0,0.36720398,0.0,0.0,0.015712554,1
97,-1,0,0.886906258,0.0,0.0,0.067640494,-1
98,-1,0,0.283739633,0.0,0.166666667,0.123667166,-1
99,0,1,0.421965318,0.0,0.166666667,0.04489301,1
100,0,0,0.421965318,0.125,0.0,0.05074862,1
101,1,1,0.34656949,0.0,0.0,0.015411575,1
102,1,0,0.36720398,0.0,0.0,0.015411575,1
103,-1,0,0.25860769,0.0,0.166666667,0.150855153,1
104,1,0,0.409399347,0.0,0.0,0.016891873,1
105,1,0,0.459663232,0.25,0.0,0.01546857,1
106,1,0,0.34656949,0.0,0.0,0.015411575,1
107,1,1,0.25860769,0.0,0.0,0.014931806,1
108,1,0,0.36720398,0.0,0.0,0.015175789,1
109,1,0,0.472229203,0.0,0.0,0.015411575,1
110,1,1,0.36720398,0.125,0.0,0.047137661,0
111,-1,0,0.585322945,0.0,0.0,0.10149724,1
112,1,1,0.176928877,0.125,0.0,0.028212719,-1
113,1,0,0.271173662,0.0,0.0,0.015712554,1
114,1,1,0.246041719,0.125,0.0,0.019177123,1
115,1,1,0.208343805,0.0,0.0,0.028220722,-1
116,1,0,0.25860769,0.0,0.0,0.01546857,1
117,1,0,0.880623272,0.0,0.0,0.015126993,0
118,0,0,0.359135461,0.125,0.0,0.04098927,1
119,-1,0,0.296305604,0.0,0.166666667,0.483128426,-1
120,1,1,0.019854235,0.5,0.333333333,0.061044735,1
121,0,0,0.25860769,0.25,0.0,0.143462446,1
122,1,0,0.36720398,0.0,0.0,0.015712554,1
123,0,0,0.403116361,0.125,0.0,0.058694293,-1
124,0,1,0.403116361,0.0,0.0,0.02537431,1
125,-1,0,0.673284745,0.0,0.166666667,0.150855153,1
126,1,0,0.145513948,0.125,0.0,0.021942337,-1
127,1,0,0.36720398,0.0,0.0,0.015126993,0
128,1,0,0.296305604,0.0,0.0,0.01393967,1
129,1,1,0.36720398,0.125,0.166666667,0.043640495,-1
130,1,0,0.560191003,0.0,0.0,0.013614293,1
131,1,0,0.409399347,0.0,0.0,0.015411575,-1
132,1,0,0.246041719,0.0,0.0,0.013760684,1
133,1,1,0.585322945,0.125,0.0,0.028302115,1
134,0,1,0.359135461,0.125,0.0,0.05074862,1
135,0,0,0.308871576,0.0,0.0,0.02537431,1
136,0,0,0.283739633,0.0,0.0,0.029367446,-1
137,-1,1,0.233475748,0.0,0.333333333,0.051301585,1
138,-1,0,0.459663232,0.125,0.0,0.103644297,1
139,1,0,0.195777834,0.0,0.0,0.0179898,1
140,-1,0,0.296305604,0.0,0.0,0.154588105,-1
141,1,1,0.36720398,0.0,0.333333333,0.02975782,-1
142,1,1,0.271173662,0.0,0.0,0.015126993,1
143,1,1,0.296305604,0.125,0.0,0.03093714,1
144,1,0,0.233475748,0.0,0.0,0.013175123,0
145,0,0,0.220909776,0.0,0.0,0.022446505,1
146,0,0,0.233475748,0.125,0.166666667,0.071731223,1
147,1,0,0.334003518,0.0,0.0,0.015216388,1
148,1,1,0.107816034,0.25,0.333333333,0.067095532,1
149,0,0,0.453380246,0.0,0.333333333,0.05074862,1
150,0,0,0.522493089,0.0,0.0,0.02537431,1
151,0,0,0.635586831,0.0,0.0,0.024447172,1
152,-1,1,0.271173662,0.125,0.0,0.129994543,1
153,1,0,0.692133702,0.0,0.0,0.015712554,1
154,1,0,0.503644132,0.0,0.333333333,0.028302115,1
155,1,0,0.36720398,0.0,0.0,0.014273049,1
156,-1,0,0.635586831,0.0,0.166666667,0.11980422,-1
157,1,1,0.195777834,0.0,0.0,0.015094396,0
158,1,0,0.371701433,0.0,0.0,0.015712554,1
159,1,0,0.36720398,0.0,0.0,0.016908074,1
160,1,0,0.36720398,1.0,0.333333333,0.135752559,1
161,1,0,0.547625031,0.0,0.166666667,0.031425107,1
162,0,1,0.497361146,0.0,0.0,0.030741953,1
163,1,0,0.321437547,0.0,0.0,0.015175789,1
164,1,0,0.208343805,0.0,0.0,0.016908074,1
165,1,0,0.007288263,0.5,0.166666667,0.077464841,1
166,1,0,0.107816034,0.0,0.333333333,0.040062132,1
167,-1,1,0.36720398,0.0,0.166666667,0.10735285,1
168,1,1,0.560191003,0.125,0.666666667,0.054457173,1
169,-1,0,0.36720398,0.0,0.0,0.05060223,1
170,1,0,0.34656949,0.0,0.0,0.110272458,1
171,-1,0,0.761246544,0.0,0.0,0.065387645,1
172,1,0,0.044986177,0.5,0.166666667,0.056848214,0
173,1,1,0.007288263,0.125,0.166666667,0.021730754,1
174,1,0,0.25860769,0.0,0.0,0.01546857,1
175,-1,0,0.698416688,0.0,0.0,0.059914211,-1
176,1,0,0.220909776,0.125,0.166666667,0.015330377,1
177,1,0,0.36720398,0.375,0.166666667,0.049707688,1
178,-1,1,0.62302086,0.0,0.0,0.056043068,-1
179,0,0,0.371701433,0.0,0.0,0.02537431,1
180,1,0,0.447097261,0.0,0.0,0.0,1
181,1,1,0.36720398,1.0,0.333333333,0.135752559,1
182,0,0,0.36720398,0.0,0.0,0.029375644,-1
183,1,0,0.107816034,0.5,0.333333333,0.06126432,1
184,0,0,0.007288263,0.25,0.166666667,0.07612293,1
185,1,1,0.044986177,0.0,0.333333333,0.042989937,1
186,-1,0,0.36720398,0.0,0.0,0.0975935,1
187,1,1,0.36720398,0.125,0.0,0.030253985,0
188,-1,0,0.560191003,0.0,0.0,0.051822149,1
189,1,0,0.497361146,0.125,0.166666667,0.030253985,0
190,1,0,0.447097261,0.0,0.0,0.015411575,1
191,0,1,0.396833375,0.0,0.0,0.02537431,1
192,0,0,0.233475748,0.0,0.0,0.02537431,1
193,1,1,0.233475748,0.125,0.0,0.015330377,1
194,0,0,0.032420206,0.125,0.166666667,0.05074862,1
195,-1,1,0.547625031,0.0,0.0,0.054107398,-1
196,-1,1,0.72354863,0.0,0.0,0.285989555,-1
197,1,0,0.36720398,0.0,0.0,0.015126993,0
198,1,0,0.522493089,0.0,0.166666667,0.016403906,1
199,1,1,0.36720398,0.0,0.0,0.015126993,0
200,0,1,0.296305604,0.0,0.0,0.02537431,1
201,1,0,0.34656949,0.0,0.0,0.018542765,1
202,1,0,0.36720398,1.0,0.333333333,0.135752559,1
203,1,0,0.421965318,0.0,0.0,0.012678957,1
204,1,0,0.566473988,0.0,0.0,0.014102261,-1
205,1,0,0.220909776,0.0,0.0,0.015712554,1
206,1,1,0.019854235,0.0,0.166666667,0.02042144,1
207,1,0,0.396833375,0.125,0.0,0.03093714,1
208,1,0,0.321437547,0.0,0.0,0.036670758,-1
209,1,1,0.195777834,0.0,0.0,0.015126993,0
210,-1,0,0.497361146,0.0,0.0,0.06050797,-1
211,1,0,0.296305604,0.0,0.0,0.013760684,1
212,0,1,0.434531289,0.0,0.0,0.04098927,1
213,1,0,0.271173662,0.0,0.0,0.014151058,1
214,0,0,0.371701433,0.0,0.0,0.02537431,1
215,1,0,0.36720398,0.125,0.0,0.015126993,0
216,-1,1,0.384267404,0.125,0.0,0.221098075,-1
217,1,1,0.334003518,0.0,0.0,0.01546857,1
218,0,0,0.522493089,0.125,0.0,0.05270049,1
219,-1,1,0.396833375,0.0,0.0,0.148911481,-1
220,0,0,0.371701433,0.0,0.0,0.020494635,1
221,1,0,0.195777834,0.0,0.0,0.015712554,1
222,0,0,0.334003518,0.0,0.0,0.02537431,1
223,1,0,0.635586831,0.0,0.0,0.015712554,1
224,1,0,0.36720398,0.0,0.0,0.015411575,1
225,-1,0,0.472229203,0.125,0.0,0.175668301,1
226,1,0,0.271173662,0.0,0.0,0.018249985,1
227,0,0,0.233475748,0.0,0.0,0.020494635,1
228,1,0,0.252324705,0.0,0.0,0.014151058,1
229,0,0,0.220909776,0.0,0.0,0.02537431,1
230,1,1,0.36720398,0.375,0.166666667,0.049707688,1
231,-1,1,0.434531289,0.125,0.0,0.162932349,1
232,1,0,0.359135461,0.0,0.0,0.015175789,1
233,0,0,0.736114602,0.0,0.0,0.026350245,1
234,1,1,0.057552149,0.5,0.333333333,0.06126432,1
235,0,0,0.296305604,0.0,0.0,0.020494635,1
236,1,1,0.36720398,0.0,0.0,0.014736619,1
237,0,0,0.547625031,0.125,0.0,0.05074862,1
238,0,1,0.095250063,0.0,0.333333333,0.051236588,1
239,0,0,0.233475748,0.0,0.0,0.020494635,1
240,0,0,0.409399347,0.0,0.0,0.023959204,1
241,1,1,0.36720398,0.125,0.0,0.028212719,-1
242,1,1,0.36720398,0.125,0.0,0.030253985,0
243,0,0,0.359135461,0.0,0.0,0.020494635,1
244,1,0,0.271173662,0.0,0.0,0.013907074,1
245,1,0,0.371701433,0.0,0.0,0.014102261,-1
246,-1,0,0.547625031,0.25,0.0,0.175668301,0
247,1,1,0.308871576,0.0,0.0,0.015175789,1
248,0,1,0.296305604,0.0,0.333333333,0.028302115,1
249,-1,0,0.459663232,0.125,0.166666667,0.102578967,1
250,0,0,0.673284745,0.125,0.0,0.05074862,1
251,1,0,0.36720398,0.0,0.0,0.014151058,1
252,1,1,0.359135461,0.125,0.166666667,0.02042144,1
253,-1,0,0.773812516,0.0,0.0,0.051822149,1
254,1,0,0.371701433,0.125,0.0,0.031425107,1
255,1,1,0.509927117,0.0,0.333333333,0.039452173,1
256,1,1,0.359135461,0.0,0.333333333,0.02975782,-1
257,-1,1,0.36720398,0.0,0.0,0.154588105,-1
258,-1,1,0.371701433,0.0,0.0,0.168836756,1
259,-1,1,0.434531289,0.0,0.0,1.0,-1
260,0,1,0.62302086,0.0,0.166666667,0.05074862,1
261,1,0,0.36720398,0.0,0.0,0.015126993,0
262,1,0,0.032420206,0.5,0.333333333,0.06126432,1
263,-1,0,0.648152802,0.125,0.166666667,0.155466446,1
264,-1,0,0.497361146,0.0,0.0,0.0,1
265,1,1,0.36720398,0.0,0.0,0.015126993,0
266,0,0,0.447097261,0.0,0.0,0.020494635,1
267,1,0,0.195777834,0.5,0.166666667,0.077464841,1
268,1,0,0.308871576,0.125,0.0,0.015175789,1
269,-1,1,0.72354863,0.0,0.166666667,0.299538851,1
270,-1,1,0.434531289,0.0,0.0,0.26473857,1
271,-1,0,0.36720398,0.0,0.0,0.06050797,1
272,1,0,0.308871576,0.0,0.0,0.0,1
273,0,1,0.509927117,0.0,0.166666667,0.038061465,1
274,-1,0,0.459663232,0.0,0.166666667,0.057970539,-1
275,1,1,0.36720398,0.0,0.0,0.015126993,0
276,-1,1,0.786378487,0.125,0.0,0.152164468,1
277,1,1,0.560191003,0.0,0.0,0.015126993,1
278,0,0,0.36720398,0.0,0.0,0.0,1
279,1,0,0.082684091,0.5,0.166666667,0.056848214,0
280,1,1,0.434531289,0.125,0.166666667,0.039525368,1
281,1,0,0.81151043,0.0,0.0,0.015126993,0
282,1,0,0.34656949,0.0,0.0,0.015330377,1
283,1,0,0.195777834,0.0,0.0,0.018542765,1
284,1,0,0.233475748,0.0,0.0,0.015712554,1
285,-1,0,0.36720398,0.0,0.0,0.05074862,1
286,1,0,0.409399347,0.0,0.0,0.016908074,-1
287,1,0,0.371701433,0.0,0.0,0.018542765,1
288,1,0,0.271173662,0.0,0.0,0.015411575,1
289,0,0,0.522493089,0.0,0.0,0.02537431,1
290,1,1,0.271173662,0.0,0.0,0.015126993,0
291,-1,1,0.321437547,0.0,0.0,0.15390495,1
292,-1,1,0.233475748,0.125,0.0,0.177774759,-1
293,0,0,0.447097261,0.0,0.0,0.025130326,-1
294,1,1,0.296305604,0.0,0.0,0.01727405,1
295,1,0,0.296305604,0.0,0.0,0.015411575,1
296,-1,0,0.36720398,0.0,0.0,0.054107398,-1
297,1,0,0.290022619,0.0,0.0,0.014110459,-1
298,-1,1,0.019854235,0.125,0.333333333,0.2958059,1
299,-1,0,0.36720398,0.0,0.0,0.059532035,1
300,-1,1,0.62302086,0.0,0.166666667,0.483128426,-1
301,1,1,0.36720398,0.0,0.0,0.015126993,0
302,1,0,0.36720398,0.25,0.0,0.045380978,0
303,1,0,0.233475748,0.0,0.0,0.0,1
304,0,1,0.36720398,0.0,0.0,0.024105595,0
305,1,0,0.36720398,0.0,0.0,0.015712554,1
306,-1,0,0.006282986,0.125,0.333333333,0.2958059,1
307,-1,1,0.36720398,0.0,0.0,0.216429788,-1
308,-1,1,0.208343805,0.125,0.0,0.212558644,-1
309,0,0,0.371701433,0.125,0.0,0.04684488,-1
310,-1,1,0.371701433,0.0,0.0,0.111118398,-1
311,-1,1,0.296305604,0.0,0.0,0.162314192,-1
312,-1,1,0.220909776,0.25,0.333333333,0.512121894,-1
313,0,1,0.321437547,0.125,0.166666667,0.05074862,1
314,1,0,0.34656949,0.0,0.0,0.015411575,1
315,0,0,0.53505906,0.125,0.166666667,0.051236588,1
316,1,1,0.321437547,0.0,0.0,0.015330377,1
317,0,1,0.296305604,0.125,0.0,0.05074862,1
318,0,0,0.673284745,0.0,0.0,0.02732618,1
319,-1,1,0.384267404,0.0,0.333333333,0.321798367,1
320,-1,1,0.497361146,0.125,0.166666667,0.262526516,-1
321,1,0,0.271173662,0.0,0.0,0.014151058,1
322,1,0,0.334003518,0.0,0.0,0.015411575,1
323,0,1,0.371701433,0.0,0.0,0.024105595,0
324,0,1,0.271173662,0.125,0.166666667,0.05660423,1
325,1,0,0.36720398,1.0,0.333333333,0.135752559,1
326,-1,1,0.447097261,0.0,0.0,0.26473857,-1
327,1,0,0.761246544,0.0,0.0,0.012174789,1
328,0,1,0.447097261,0.0,0.0,0.02537431,1
329,1,1,0.384267404,0.125,0.166666667,0.040062132,1
330,-1,1,0.195777834,0.0,0.166666667,0.113167862,-1
331,1,1,0.36720398,0.25,0.0,0.045380978,0
332,-1,0,0.566473988,0.0,0.0,0.055628295,1
333,-1,0,0.472229203,0.0,0.166666667,0.299538851,1
334,1,0,0.195777834,0.25,0.0,0.03513366,1
335,-1,1,0.36720398,0.125,0.0,0.260867427,1
336,1,0,0.36720398,0.0,0.0,0.015411575,1
337,-1,0,0.359135461,0.125,0.0,0.129994543,1
338,-1,1,0.509927117,0.0,0.0,0.262526516,-1
339,1,0,0.560191003,0.0,0.0,0.015712554,1
340,-1,0,0.560191003,0.0,0.0,0.069291385,1
341,0,0,0.019854235,0.125,0.166666667,0.05074862,1
342,-1,1,0.296305604,0.375,0.333333333,0.513341812,1
343,0,0,0.34656949,0.0,0.0,0.02537431,1
344,0,0,0.308871576,0.0,0.0,0.02537431,1
345,0,0,0.447097261,0.0,0.0,0.02537431,1
346,0,1,0.296305604,0.0,0.0,0.02537431,1
347,0,1,0.497361146,0.0,0.0,0.02537431,1
348,1,1,0.36720398,0.125,0.0,0.031425107,1
349,1,0,0.032420206,0.125,0.166666667,0.031034733,1
350,1,0,0.522493089,0.0,0.0,0.016908074,1
351,1,0,0.283739633,0.0,0.0,0.018006001,1
352,-1,0,0.36720398,0.0,0.0,0.06831545,1
353,1,0,0.183211862,0.125,0.166666667,0.014110459,-1
354,1,0,0.308871576,0.125,0.0,0.034743286,1
355,1,0,0.36720398,0.0,0.0,0.014102261,-1
356,1,0,0.34656949,0.0,0.0,0.018542765,1
357,-1,1,0.271173662,0.0,0.166666667,0.10735285,1
358,0,1,0.472229203,0.0,0.0,0.02537431,1
359,1,1,0.36720398,0.0,0.0,0.015379174,0
360,1,1,0.36720398,0.0,0.0,0.015379174,0
361,1,0,0.497361146,0.125,0.666666667,0.054457173,1
362,0,0,0.359135461,0.125,0.0,0.054107398,-1
363,1,1,0.560191003,0.0,0.166666667,0.028212719,-1
364,1,0,0.434531289,0.0,0.0,0.013760684,1
365,1,0,0.36720398,0.125,0.0,0.030253985,0
366,1,0,0.371701433,0.0,0.0,0.014151058,1
367,-1,1,0.748680573,0.125,0.0,0.146878218,-1
368,1,1,0.36720398,0.0,0.0,0.014110459,-1
369,1,1,0.36720398,0.0,0.0,0.015126993,0
370,-1,1,0.296305604,0.0,0.0,0.135264592,-1
371,-1,0,0.308871576,0.125,0.0,0.108214991,-1
372,1,0,0.220909776,0.125,0.0,0.012678957,1
373,1,0,0.233475748,0.0,0.0,0.015712554,1
374,-1,0,0.271173662,0.0,0.0,0.26473857,-1
375,1,1,0.032420206,0.375,0.166666667,0.04113566,1
376,-1,1,0.36720398,0.125,0.0,0.16038672,-1
377,1,1,0.271173662,0.0,0.0,0.014151058,1
378,-1,0,0.334003518,0.0,0.333333333,0.412820507,-1
379,1,0,0.246041719,0.0,0.0,0.007831878,-1
380,1,0,0.233475748,0.0,0.0,0.015175789,1
381,-1,1,0.522493089,0.0,0.0,0.444099224,-1
382,1,1,0.007288263,0.0,0.333333333,0.030725752,-1
383,1,0,0.396833375,0.0,0.0,0.01546857,1
384,-1,1,0.434531289,0.125,0.0,0.10149724,1
385,1,0,0.36720398,0.0,0.0,0.015411575,1
386,0,0,0.220909776,0.0,0.0,0.143462446,1
387,1,0,0.007288263,0.625,0.333333333,0.091542703,1
388,0,1,0.447097261,0.0,0.0,0.02537431,1
389,1,0,0.36720398,0.0,0.0,0.015086394,0
390,0,1,0.208343805,0.0,0.0,0.02342244,-1
391,-1,0,0.447097261,0.125,0.333333333,0.234224401,1
392,1,0,0.25860769,0.0,0.0,0.015216388,1
393,1,0,0.34656949,0.25,0.0,0.01546857,1
394,-1,1,0.283739633,0.125,0.0,0.221098075,-1
395,1,1,0.296305604,0.0,0.333333333,0.032596229,1
396,1,0,0.271173662,0.0,0.0,0.015216388,1
397,1,1,0.384267404,0.0,0.0,0.015330377,1
398,0,0,0.572756974,0.0,0.0,0.05074862,1
399,0,0,0.283739633,0.0,0.0,0.020494635,1
400,0,1,0.34656949,0.0,0.0,0.024691156,1
401,1,0,0.484795175,0.0,0.0,0.01546857,1
402,1,0,0.321437547,0.0,0.0,0.015712554,1
403,1,1,0.25860769,0.125,0.0,0.019177123,1
404,1,0,0.34656949,0.125,0.0,0.03093714,1
405,1,1,0.246041719,0.0,0.0,0.016908074,1
406,0,0,0.421965318,0.125,0.0,0.04098927,1
407,1,0,0.635586831,0.0,0.0,0.015126993,1
408,0,0,0.032420206,0.125,0.166666667,0.036597563,1
409,1,0,0.25860769,0.0,0.0,0.015175789,1
410,1,1,0.36720398,0.375,0.166666667,0.049707688,1
411,1,0,0.36720398,0.0,0.0,0.015411575,1
412,1,0,0.36720398,0.0,0.0,0.01338651,0
413,-1,1,0.409399347,0.125,0.0,0.175668301,0
414,0,0,0.36720398,0.0,0.0,0.0,1
415,1,0,0.547625031,0.0,0.0,0.01546857,1
416,1,1,0.36720398,0.0,0.0,0.015712554,1
417,0,1,0.421965318,0.125,0.166666667,0.063435775,1
418,0,1,0.220909776,0.0,0.333333333,0.02537431,1
419,0,0,0.371701433,0.0,0.0,0.02537431,1
420,1,1,0.120382006,0.0,0.333333333,0.047137661,1
421,1,0,0.36720398,0.0,0.0,0.015411575,-1
422,1,0,0.25860769,0.0,0.0,0.015094396,0
423,1,0,0.359135461,0.0,0.0,0.015370976,1
424,1,1,0.34656949,0.125,0.166666667,0.028106928,1
425,1,0,0.220909776,0.125,0.166666667,0.039452173,1
426,1,0,0.36720398,0.0,0.0,0.014151058,1
427,0,1,0.34656949,0.125,0.0,0.05074862,1
428,0,1,0.233475748,0.0,0.0,0.05074862,1
429,1,0,0.36720398,0.0,0.0,0.015126993,0
430,1,0,0.396833375,0.0,0.0,0.015712554,1
431,-1,0,0.34656949,0.0,0.0,0.051822149,1
432,1,1,0.36720398,0.125,0.0,0.031425107,1
433,0,1,0.522493089,0.125,0.0,0.05074862,1
434,1,0,0.208343805,0.0,0.0,0.013907074,1
435,-1,0,0.62302086,0.125,0.0,0.109109533,1
436,-1,1,0.170645891,0.125,0.333333333,0.234224401,1
437,1,1,0.25860769,0.25,0.333333333,0.067095532,1
438,0,1,0.296305604,0.25,0.5,0.036597563,1
439,-1,0,0.798944458,0.125,0.666666667,0.513341812,1
440,0,0,0.384267404,0.0,0.0,0.020494635,1
441,0,1,0.560191003,0.125,0.166666667,0.051236588,1
442,1,0,0.246041719,0.0,0.0,0.018542765,1
443,1,0,0.308871576,0.125,0.0,0.015175789,1
444,0,1,0.34656949,0.0,0.0,0.02537431,1
445,1,0,0.36720398,0.0,0.0,0.015834545,1
